row,col,name_zipcode,code_zipcode
10,9,98001,98001
10,10,98042,98042
9,5,98354,98354
9,6,98422,98422
9,7,98002,98002
9,8,98010,98010
9,9,98022,98022
9,10,98058,98058
9,11,98038,98038
8,3,98047,98047
8,4,98003,98003
8,5,98092,98092
8,6,98030,98030
8,7,98188,98188
8,8,98051,98051
8,9,98126,98126
8,10,98059,98059
8,11,98154,98154
7,1,98166,98166
7,2,98023,98023
7,3,98198,98198
7,4,98032,98032
7,5,98031,98031
7,6,98055,98055
7,7,98178,98178
7,8,98056,98056
7,9,98144,98144
7,10,98027,98027
6,1,98070,98070
6,2,98148,98148
6,3,98158,98158
6,4,98168,98168
6,5,98057,98057
6,6,98118,98118
6,7,98040,98040
6,8,98164,98164
6,9,98006,98006
6,10,98045,98045
5,1,98136,98136
5,2,98146,98146
5,3,98106,98106
5,4,98108,98108
5,5,98104,98104
5,6,98101,98101
5,7,98122,98122
5,8,98029,98029
5,9,98050,98050
5,10,98065,98065
5,11,98068,98068
4,2,98116,98116
4,3,98134,98134
4,4,98121,98121
4,5,98109,98109
4,6,98075,98075
4,7,98008,98008
4,8,98007,98007
4,9,98005,98005
4,10,98004,98004
4,11,98039,98039
4,12,98074,98074
3,2,98119,98119
3,3,98112,98112
3,4,98102,98102
3,5,98199,98199
3,6,98195,98195
3,7,98105,98105
3,8,98024,98024
3,9,98107,98107
3,10,98014,98014
3,11,98053,98053
3,12,98288,98288
3,13,98033,98033
2,2,98117,98117
2,3,98125,98125
2,4,98115,98115
2,5,98034,98034
2,6,98103,98103
2,7,98052,98052
2,8,98133,98133
2,9,98028,98028
2,10,98072,98072
2,11,98077,98077
2,12,98019,98019
2,13,98224,98224
1,2,98177,98177
1,3,98155,98155
1,4,98011,98011
