"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"5301290","Algona",3247,0.0938053097345133,0.159531875577456,0.108764519535375,8.5332
"5303180","Auburn",85676,0.0596173777854552,0.145868495284856,0.148553943342217,9.7884
"5305210","Bellevue",151847,0.0422697153965601,0.106632642942611,0.157316423834648,16.5576
"5306330","Black Diamond",5961,0.0132430841671572,0.0298607616171783,0.100172711571675,14.1383
"5307380","Bothell",49610,0.0389624563445867,0.0731816425710161,0.130244755244755,14.0427
"5308850","Burien",51513,0.0696789951151431,0.176094355122638,0.170241968279789,9.1318
"5310215","Carnation",2366,0.025177025963808,0.0418427726120034,0.122691292875989,15.2763
"5313365","Clyde Hill",3119,0.0467924528301887,0.0310997114459763,0.223358908780904,25.0001
"5315290","Covington",21233,0.0413174159681653,0.0765784882350167,0.12389860376847,13.4502
"5317635","Des Moines",32823,0.0747337384920874,0.188328418438616,0.199748427672956,9.2483
"5319035","Duvall",8526,0.0254476908576814,0.134646962233169,0.118048080373161,19.7361
"5322045","Enumclaw",12798,0.0371308016877637,0.124576738325852,0.125413826679649,12.125
"5323515","Federal Way",99493,0.0541791243739407,0.20787927891432,0.182266147772769,8.6909
"5332755","Hunts Point",289,0.0099009900990099,0.100346020761246,0.145161290322581,25.0001
"5333805","Issaquah",39591,0.0332376229008962,0.0772082321360092,0.139462313970235,15.4669
"5335170","Kenmore",23741,0.0380560747663551,0.11812154229486,0.119306087696892,13.9764
"5335415","Kent",135603,0.0703765438845775,0.18652977412731,0.179150055136144,9.2302
"5335940","Kirkland",92621,0.046360061296457,0.0988226821896584,0.144644192824534,15.0414
"5337270","Lake Forest Park",13335,0.0439983500618727,0.0690224322904944,0.0947488584474886,15.9904
"5343150","Maple Valley",28287,0.0483779971791255,0.0651458885941645,0.116137960400255,15.2885
"5344725","Medina",2928,0.0284090909090909,0.0881147540983607,0.233663366336634,25.0001
"5345005","Mercer Island",25307,0.030315054360765,0.0544578121265238,0.14114024632499,21.9069
"5346020","Milton",8894,0.0532132623823168,0.150389729481889,0.196461256863941,9.654
"5348645","Newcastle",12989,0.0560069645966338,0.0996454993834772,0.17725258493353,16.0278
"5349415","Normandy Park",6659,0.0228296785821568,0.0837498106921096,0.140889413616686,16.2476
"5349485","North Bend",7953,0.0232826187183034,0.0520558279894379,0.137140902872777,17.5109
"5352495","Pacific",7066,0.0462333423986946,0.162185111803,0.175499565595135,11.5625
"5357535","Redmond",77353,0.0488438151879632,0.0811323451080249,0.125619335347432,16.256
"5357745","Renton",105317,0.0492741669416034,0.142148949786519,0.173460857592447,10.0432
"5361115","Sammamish",66463,0.0312789620018536,0.0543183461909354,0.10174313583815,23.969
"5362288","SeaTac",32414,0.0695069788383611,0.199860680134254,0.171996044173397,8.1104
"5363000","Seattle",754195,0.0461865445924957,0.140411616309449,0.153538432755746,12.386
"5363960","Shoreline",61431,0.046307397194581,0.118840675501504,0.152989352989353,11.2751
"5364855","Skykomish",92,0.102040816326531,0.173913043478261,0.169811320754717,6.2917
"5365205","Snoqualmie",13798,0.0263739119137326,0.0125380489926076,0.0434308162374509,21.4107
"5372625","Tukwila",21451,0.0637099333544906,0.184732100521574,0.17544744139148,7.8381
"5379590","Woodinville",13438,0.0433384773662551,0.0403363846096599,0.115760368663594,16.4398
"5380150","Yarrow Point",1198,0.0218487394957983,0.0467445742904841,0.213636363636364,25.0001
