"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"53033000101","Census Tract 1.01; King County; Washington",3417,0.0617227084292953,0.264609908039158,0.168384879725086,6.9577
"53033000102","Census Tract 1.02; King County; Washington",4321,0,0.23489932885906,0.193808312128923,8.984
"53033000201","Census Tract 2.01; King County; Washington",4953,0.064179576351565,0.235401831129196,0.156476267095736,8.8833
"53033000202","Census Tract 2.02; King County; Washington",4404,0.0392310710082385,0.0827633378932969,0.155584247901872,13.8472
"53033000300","Census Tract 3; King County; Washington",2926,0.0519957983193277,0.0872988702499144,0.0499583680266445,13.5536
"53033000402","Census Tract 4.02; King County; Washington",5365,0.0174379610999329,0.0446949086669258,0.111277632071937,12.831
"53033000403","Census Tract 4.03; King County; Washington",3285,0.0982236154649948,0.241293532338308,0.278236914600551,6.5469
"53033000404","Census Tract 4.04; King County; Washington",3668,0.0442477876106195,0.26,0.36359292881032,4.594
"53033000500","Census Tract 5; King County; Washington",3381,0.00664893617021277,0.104406980183378,0.171725239616613,21.6471
"53033000601","Census Tract 6.01; King County; Washington",4660,0.0482556243886534,0.111518550474547,0.156884256719693,10.0341
"53033000602","Census Tract 6.02; King County; Washington",3433,0.0224428139835995,0.0454413049810661,0.0943134535367545,11.6544
"53033000700","Census Tract 7; King County; Washington",4857,0.0652503793626707,0.12497426394894,0.188106796116505,9.5431
"53033000800","Census Tract 8; King County; Washington",2661,0.0354037267080745,0.0613026819923372,0.0998233215547703,15.1528
"53033000900","Census Tract 9; King County; Washington",1990,0.0574358974358974,0.0783619817997978,0.157239819004525,13.2083
"53033001000","Census Tract 10; King County; Washington",2150,0.0358632193494579,0.121508379888268,0.111111111111111,15.3214
"53033001100","Census Tract 11; King County; Washington",2449,0.0262984878369494,0.0658707286949362,0.148876404494382,15.5156
"53033001201","Census Tract 12.01; King County; Washington",4351,0.0419111483654652,0.310408492960997,0.315723793677205,4.9342
"53033001202","Census Tract 12.02; King County; Washington",3932,0.0861812778603269,0.142421159715158,0.231188658669575,9.6125
"53033001300","Census Tract 13; King County; Washington",5552,0.0378507146638433,0.201909221902017,0.161013645224172,11.5208
"53033001400","Census Tract 14; King County; Washington",5257,0.0700600514726909,0.11208539839878,0.144736842105263,13.3875
"53033001500","Census Tract 15; King County; Washington",2750,0.0233614536015574,0.0432727272727273,0.0397877984084881,19.375
"53033001600","Census Tract 16; King County; Washington",4903,0.0239971346704871,0.0634434924520604,0.0999000999000999,23.65
"53033001701","Census Tract 17.01; King County; Washington",4432,0.0563002680965147,0.106046931407942,0.1419185282523,13.4375
"53033001702","Census Tract 17.02; King County; Washington",5849,0.0405943221013531,0.0738337425464749,0.109375,12.2105
"53033001800","Census Tract 18; King County; Washington",4996,0.02269892741332,0.0768614891913531,0.108160874658337,13.0855
"53033001900","Census Tract 19; King County; Washington",5242,0.0448571428571429,0.112933994658527,0.130841121495327,14.1494
"53033002000","Census Tract 20; King County; Washington",4019,0.0610516934046346,0.0608142493638677,0.091563113145847,15.0219
"53033002100","Census Tract 21; King County; Washington",5000,0.0299172501591343,0.0856164383561644,0.189791183294664,15.0529
"53033002200","Census Tract 22; King County; Washington",6381,0.0591174021648626,0.0370137029453457,0.0970996216897856,19.6167
"53033002400","Census Tract 24; King County; Washington",2938,0.0366342301087579,0.034717494894486,0.119305856832972,17.6838
"53033002500","Census Tract 25; King County; Washington",3295,0.0134366925064599,0.0505173463177115,0.0753579502637528,17.8173
"53033002600","Census Tract 26; King County; Washington",5654,0.00916689134537611,0.0682702511496286,0.136503742844562,19.075
"53033002700","Census Tract 27; King County; Washington",6008,0.029874213836478,0.11114825338459,0.0687940323249068,21.2544
"53033002800","Census Tract 28; King County; Washington",5004,0.0163242330424993,0.0674984659439558,0.0664095972579263,13.9955
"53033002900","Census Tract 29; King County; Washington",4645,0.019935691318328,0.052529601722282,0.0845656192236599,17.5321
"53033003000","Census Tract 30; King County; Washington",6590,0.00278551532033426,0.0556823368324966,0.0575,18.25
"53033003100","Census Tract 31; King County; Washington",6742,0.0512261580381471,0.0547211895910781,0.117668488160291,19.1625
"53033003201","Census Tract 32.01; King County; Washington",4683,0.0246523388116308,0.0766602605167628,0.122389153536094,13.1544
"53033003202","Census Tract 32.02; King County; Washington",4831,0.0408710217755444,0.0124197888635893,0.079136690647482,17.5303
"53033003301","Census Tract 33.01; King County; Washington",4157,0.0268176400476758,0.0887659369737792,0.129175946547884,13.1353
"53033003302","Census Tract 33.02; King County; Washington",3826,0.0410958904109589,0.168677859391396,0.0695652173913043,15.3523
"53033003400","Census Tract 34; King County; Washington",3580,0.0774774774774775,0.038268156424581,0.0642201834862385,18.6058
"53033003500","Census Tract 35; King County; Washington",4099,0.00580357142857143,0.0771342985521717,0.191247974068071,15.1654
"53033003601","Census Tract 36.01; King County; Washington",3507,0.0906862745098039,0.172943221320973,0.265533722782793,11.1908
"53033003602","Census Tract 36.02; King County; Washington",4493,0.0398706896551724,0.174048519919875,0.187612748045701,11.0991
"53033003800","Census Tract 38; King County; Washington",2325,0.0408163265306122,0.0805340223944875,0.132733408323959,18.3068
