zip,year,category_id,category,count,percentage,total_requests
98001,2025,2,Housing & Shelter,672,30.6%,2198
98001,2025,3,Food,257,11.7%,2198
98001,2025,1,Utilities,278,12.6%,2198
98001,2025,4,Healthcare & COVID-19,114,5.2%,2198
98001,2025,5,Mental Health & Addictions,34,1.5%,2198
98001,2025,6,Employment & Income,46,2.1%,2198
98001,2025,7,Clothing & Household,99,4.5%,2198
98001,2025,8,Child Care & Parenting,20,<1%,2198
98001,2025,9,Government & Legal,256,11.6%,2198
98001,2025,10,Transportation Assistance,80,3.6%,2198
98001,2025,11,Education,7,<1%,2198
98001,2025,12,Disaster,80,3.6%,2198
98001,2025,13,Other,255,11.6%,2198
98002,2025,2,Housing & Shelter,2411,31.3%,7710
98002,2025,3,Food,1034,13.4%,7710
98002,2025,1,Utilities,733,9.5%,7710
98002,2025,4,Healthcare & COVID-19,264,3.4%,7710
98002,2025,5,Mental Health & Addictions,107,1.4%,7710
98002,2025,6,Employment & Income,159,2.1%,7710
98002,2025,7,Clothing & Household,420,5.4%,7710
98002,2025,8,Child Care & Parenting,25,<1%,7710
98002,2025,9,Government & Legal,785,10.2%,7710
98002,2025,10,Transportation Assistance,209,2.7%,7710
98002,2025,11,Education,30,<1%,7710
98002,2025,12,Disaster,526,6.8%,7710
98002,2025,13,Other,1007,13.1%,7710
98003,2025,2,Housing & Shelter,2511,31.2%,8038
98003,2025,3,Food,1093,13.6%,8038
98003,2025,1,Utilities,942,11.7%,8038
98003,2025,4,Healthcare & COVID-19,311,3.9%,8038
98003,2025,5,Mental Health & Addictions,141,1.8%,8038
98003,2025,6,Employment & Income,150,1.9%,8038
98003,2025,7,Clothing & Household,341,4.2%,8038
98003,2025,8,Child Care & Parenting,45,<1%,8038
98003,2025,9,Government & Legal,923,11.5%,8038
98003,2025,10,Transportation Assistance,284,3.5%,8038
98003,2025,11,Education,29,<1%,8038
98003,2025,12,Disaster,318,4.0%,8038
98003,2025,13,Other,950,11.8%,8038
98004,2025,2,Housing & Shelter,416,29.1%,1432
98004,2025,3,Food,155,10.8%,1432
98004,2025,1,Utilities,137,9.6%,1432
98004,2025,4,Healthcare & COVID-19,91,6.4%,1432
98004,2025,5,Mental Health & Addictions,24,1.7%,1432
98004,2025,6,Employment & Income,40,2.8%,1432
98004,2025,7,Clothing & Household,48,3.4%,1432
98004,2025,8,Child Care & Parenting,11,<1%,1432
98004,2025,9,Government & Legal,187,13.1%,1432
98004,2025,10,Transportation Assistance,42,2.9%,1432
98004,2025,11,Education,10,<1%,1432
98004,2025,12,Disaster,45,3.1%,1432
98004,2025,13,Other,226,15.8%,1432
98005,2025,2,Housing & Shelter,327,27.0%,1211
98005,2025,3,Food,141,11.6%,1211
98005,2025,1,Utilities,100,8.3%,1211
98005,2025,4,Healthcare & COVID-19,94,7.8%,1211
98005,2025,5,Mental Health & Addictions,29,2.4%,1211
98005,2025,6,Employment & Income,25,2.1%,1211
98005,2025,7,Clothing & Household,46,3.8%,1211
98005,2025,8,Child Care & Parenting,8,<1%,1211
98005,2025,9,Government & Legal,188,15.5%,1211
98005,2025,10,Transportation Assistance,54,4.5%,1211
98005,2025,11,Education,8,<1%,1211
98005,2025,12,Disaster,37,3.1%,1211
98005,2025,13,Other,154,12.7%,1211
98006,2025,2,Housing & Shelter,276,26.5%,1042
98006,2025,3,Food,142,13.6%,1042
98006,2025,1,Utilities,91,8.7%,1042
98006,2025,4,Healthcare & COVID-19,53,5.1%,1042
98006,2025,5,Mental Health & Addictions,24,2.3%,1042
98006,2025,6,Employment & Income,25,2.4%,1042
98006,2025,7,Clothing & Household,45,4.3%,1042
98006,2025,8,Child Care & Parenting,5,<1%,1042
98006,2025,9,Government & Legal,165,15.8%,1042
98006,2025,10,Transportation Assistance,43,4.1%,1042
98006,2025,11,Education,5,<1%,1042
98006,2025,12,Disaster,39,3.7%,1042
98006,2025,13,Other,129,12.4%,1042
98007,2025,2,Housing & Shelter,442,29.5%,1499
98007,2025,3,Food,207,13.8%,1499
98007,2025,1,Utilities,135,9.0%,1499
98007,2025,4,Healthcare & COVID-19,62,4.1%,1499
98007,2025,5,Mental Health & Addictions,28,1.9%,1499
98007,2025,6,Employment & Income,39,2.6%,1499
98007,2025,7,Clothing & Household,33,2.2%,1499
98007,2025,8,Child Care & Parenting,19,1.3%,1499
98007,2025,9,Government & Legal,259,17.3%,1499
98007,2025,10,Transportation Assistance,60,4.0%,1499
98007,2025,11,Education,4,<1%,1499
98007,2025,12,Disaster,44,2.9%,1499
98007,2025,13,Other,167,11.1%,1499
98008,2025,2,Housing & Shelter,136,24.2%,563
98008,2025,3,Food,41,7.3%,563
98008,2025,1,Utilities,47,8.3%,563
98008,2025,4,Healthcare & COVID-19,41,7.3%,563
98008,2025,5,Mental Health & Addictions,23,4.1%,563
98008,2025,6,Employment & Income,16,2.8%,563
98008,2025,7,Clothing & Household,7,1.2%,563
98008,2025,8,Child Care & Parenting,7,1.2%,563
98008,2025,9,Government & Legal,111,19.7%,563
98008,2025,10,Transportation Assistance,24,4.3%,563
98008,2025,11,Education,3,<1%,563
98008,2025,12,Disaster,20,3.6%,563
98008,2025,13,Other,87,15.5%,563
98009,2025,2,Housing & Shelter,8,21.1%,38
98009,2025,3,Food,6,15.8%,38
98009,2025,1,Utilities,2,5.3%,38
98009,2025,4,Healthcare & COVID-19,1,2.6%,38
98009,2025,5,Mental Health & Addictions,1,2.6%,38
98009,2025,6,Employment & Income,0,0%,38
98009,2025,7,Clothing & Household,0,0%,38
98009,2025,8,Child Care & Parenting,0,0%,38
98009,2025,9,Government & Legal,10,26.3%,38
98009,2025,10,Transportation Assistance,1,2.6%,38
98009,2025,11,Education,0,0%,38
98009,2025,12,Disaster,2,5.3%,38
98009,2025,13,Other,7,18.4%,38
98010,2025,2,Housing & Shelter,30,28.6%,105
98010,2025,3,Food,15,14.3%,105
98010,2025,1,Utilities,10,9.5%,105
98010,2025,4,Healthcare & COVID-19,5,4.8%,105
98010,2025,5,Mental Health & Addictions,2,1.9%,105
98010,2025,6,Employment & Income,3,2.9%,105
98010,2025,7,Clothing & Household,1,<1%,105
98010,2025,8,Child Care & Parenting,0,0%,105
98010,2025,9,Government & Legal,20,19.0%,105
