zip,id
98001,20259
98002,19808
98003,20349
98004,19916
98005,20275
98006,20181
98007,20455
98008,20364
98009,20006
98010,20169
98011,19836
98012,20200
98013,20442
98014,20369
98015,20005
98019,19926
98020,20378
98021,20198
98022,19983
98023,19989
98024,20451
98025,20443
98026,20289
98027,19909
98028,20017
98029,20271
98030,20171
98031,19993
98032,20261
98033,20102
98034,19834
98035,19992
98036,19929
98037,20110
98038,20172
98039,20096
98040,20002
98041,20287
98042,20440
98043,20018
98045,20087
98046,19838
98047,20167
98050,19999
98051,20260
98052,19831
98053,20281
98055,20355
98056,20178
98057,19907
98058,20175
98059,20447
98061,20370
98062,20356
98063,20078
98064,20082
98065,20089
98068,20353
98070,20354
98071,20079
98072,19927
98073,20282
98074,20276
98075,20272
98077,20376
98082,20290
98083,20192
98087,19931
98089,19902
98092,19988
98093,20168
98101,20274
98102,19917
98103,19922
98104,20273
98105,20460
98106,20449
98107,20191
98108,20360
98109,20097
98110,20457
98111,19914
98112,19826
98113,19832
98114,20003
98115,20462
98116,19912
98117,19923
98118,20090
98119,20277
98121,20365
98122,20454
98124,20450
98125,20374
98126,20180
98127,20371
98129,19825
98131,20266
98132,20176
98133,20465
98134,20182
98136,19910
98138,19996
98139,20367
98141,20004
98144,20362
98145,19829
98146,19998
98148,20265
98154,19913
98155,20107
98158,20085
98160,20467
98161,19823
98164,20453
98165,20015
98166,19815
98168,20267
98170,20184
98174,20363
98175,20014
98177,20016
98178,19908
98181,19915
98185,20010
98188,20445
98189,20444
98190,20088
98191,20185
98194,20093
98195,20368
98198,19903
98199,20278
98201,20204
98203,20293
98204,20471
98205,20024
98206,20472
98207,20294
98208,20381
98213,20114
98220,20215
98221,20482
98222,19852
98223,20388
98224,20286
98225,20216
98226,19856
98227,20306
98228,20396
98229,19946
98230,19858
98231,20309
98232,19944
98233,20122
98235,19942
98236,20473
98237,20213
98238,20300
98239,19848
98240,20218
98241,20299
98243,20394
98244,20037
98245,20125
98247,20038
98248,20307
98249,20025
98250,20393
98251,20020
98252,20296
98253,20476
98255,20033
